Datetime,Open,High,Low,Close
2020-09-14 21:15:00,1.2842,1.28482,1.2842,1.2848
2020-09-14 21:16:00,1.2848,1.28485,1.28471,1.28471
2020-09-14 21:17:00,1.28471,1.28483,1.2845,1.28452
2020-09-14 21:18:00,1.28452,1.28468,1.28448,1.28448
2020-09-14 21:19:00,1.28448,1.28468,1.28448,1.28453
2020-09-14 21:20:00,1.28453,1.28465,1.28442,1.28453
2020-09-14 21:21:00,1.28453,1.28497,1.28442,1.28455
2020-09-14 21:22:00,1.28455,1.28462,1.28455,1.28462
2020-09-14 21:23:00,1.28462,1.28462,1.28462,1.28462
2020-09-14 21:24:00,1.28462,1.28464,1.28462,1.28464
2020-09-14 21:25:00,1.28464,1.28464,1.28462,1.28462
2020-09-14 21:26:00,1.28462,1.28464,1.28462,1.28464
2020-09-14 21:27:00,1.28464,1.28465,1.28462,1.28465
2020-09-14 21:28:00,1.28465,1.28465,1.28464,1.28464
2020-09-14 21:29:00,1.28464,1.28464,1.28464,1.28464
2020-09-14 21:30:00,1.28464,1.28505,1.28462,1.28471
2020-09-14 21:31:00,1.28471,1.28479,1.28462,1.28462
2020-09-14 21:32:00,1.28462,1.28475,1.28462,1.28473
2020-09-14 21:33:00,1.28473,1.28473,1.28459,1.28465
2020-09-14 21:34:00,1.28465,1.28465,1.28465,1.28465
2020-09-14 21:35:00,1.28465,1.28465,1.28465,1.28465
2020-09-14 21:36:00,1.28465,1.2847,1.28464,1.28467
2020-09-14 21:37:00,1.28467,1.28467,1.28467,1.28467
2020-09-14 21:38:00,1.28467,1.28467,1.28467,1.28467
2020-09-14 21:39:00,1.28467,1.28469,1.28462,1.28469
2020-09-14 21:40:00,1.28469,1.28469,1.28469,1.28469
2020-09-14 21:41:00,1.28469,1.28469,1.28466,1.28469
2020-09-14 21:42:00,1.28469,1.28471,1.28469,1.28471
2020-09-14 21:43:00,1.28471,1.28471,1.28471,1.28471
2020-09-14 21:44:00,1.28471,1.28471,1.2847,1.28471
2020-09-14 21:45:00,1.28471,1.28471,1.28471,1.28471
