Date,Open,High,Low,Close,Adj Close,Volume
2017-10-26,147.3699951171875,147.58999633789062,146.94000244140625,147.24000549316406,147.24000549316406,6598616
2017-10-26,147.22999572753906,147.67999267578125,147.1999969482422,147.27999877929688,147.27999877929688,4289810
2017-10-26,147.26499938964844,147.47000122070312,147.19000244140625,147.33900451660156,147.33900451660156,1590532
2017-10-26,147.3300018310547,147.36000061035156,147.08999633789062,147.25999450683594,147.25999450683594,2203047
2017-10-26,147.25999450683594,147.41000366210938,147.1199951171875,147.34500122070312,147.34500122070312,930082
2017-10-26,147.34140014648438,147.38999938964844,147.0399932861328,147.13999938964844,147.13999938964844,4506889
2017-10-26,147.13499450683594,147.22999572753906,146.97999572753906,146.97999572753906,146.97999572753906,3743676
2017-10-27,149.3800048828125,150.47000122070312,149.2100067138672,150.1699981689453,150.1699981689453,15394171
2017-10-27,150.17999267578125,150.61000061035156,150.08999633789062,150.56500244140625,150.56500244140625,6040570
2017-10-27,150.58999633789062,151.13999938964844,150.58999633789062,151.10000610351562,151.10000610351562,9435260
2017-10-27,151.11000061035156,151.27000427246094,150.9801025390625,151.00369262695312,151.00369262695312,5387276
2017-10-27,151.00840759277344,151.50999450683594,151.0,151.27999877929688,151.27999877929688,4556950
2017-10-27,151.27999877929688,151.47999572753906,151.14999389648438,151.41000366210938,151.41000366210938,6489746
2017-10-27,151.40499877929688,151.52000427246094,151.1699981689453,151.22000122070312,151.22000122070312,9151813
2017-10-30,151.11000061035156,152.14999389648438,151.08999633789062,152.0666046142578,152.0666046142578,7264570
2017-10-30,152.08999633789062,152.17999267578125,151.50999450683594,151.5449981689453,151.5449981689453,5350587
2017-10-30,151.52999877929688,151.58999633789062,150.99000549316406,151.2050018310547,151.2050018310547,6361913
2017-10-30,151.2100067138672,151.5758056640625,151.2100067138672,151.50999450683594,151.50999450683594,2096899
2017-10-30,151.52000427246094,151.5399932861328,151.22000122070312,151.4600067138672,151.4600067138672,3060105
2017-10-30,151.4499969482422,151.55999755859375,151.22000122070312,151.39999389648438,151.39999389648438,2802661
