DateTime,Open,High,Low,Close
2020-09-14 21:15:00,1.18655,1.18655,1.1865,1.1865
2020-09-14 21:16:00,1.1865,1.1865,1.1865,1.1865
2020-09-14 21:17:00,1.1865,1.18655,1.1865,1.1865
2020-09-14 21:18:00,1.1865,1.1865,1.1865,1.1865
2020-09-14 21:19:00,1.1865,1.1865,1.1865,1.1865
2020-09-14 21:20:00,1.1865,1.1865,1.1865,1.1865
2020-09-14 21:21:00,1.1865,1.18655,1.1865,1.1865
2020-09-14 21:22:00,1.1865,1.1865,1.1865,1.1865
2020-09-14 21:23:00,1.1865,1.1865,1.1865,1.1865
2020-09-14 21:24:00,1.1865,1.1865,1.1865,1.1865
2020-09-14 21:25:00,1.1865,1.18666,1.1865,1.18662
2020-09-14 21:26:00,1.18662,1.1867,1.18662,1.1867
2020-09-14 21:27:00,1.1867,1.1867,1.18656,1.18661
2020-09-14 21:28:00,1.18661,1.18661,1.18661,1.18661
2020-09-14 21:29:00,1.18661,1.18661,1.18661,1.18661
2020-09-14 21:30:00,1.18661,1.18662,1.18661,1.18662
2020-09-14 21:31:00,1.18662,1.18662,1.18662,1.18662
2020-09-14 21:32:00,1.18662,1.18662,1.18652,1.18652
2020-09-14 21:33:00,1.18652,1.18652,1.1865,1.1865
2020-09-14 21:34:00,1.1865,1.18659,1.1865,1.18657
2020-09-14 21:35:00,1.18657,1.1866,1.18657,1.18657
2020-09-14 21:36:00,1.18657,1.18657,1.1865,1.1865
2020-09-14 21:37:00,1.1865,1.1865,1.1865,1.1865
2020-09-14 21:38:00,1.1865,1.1865,1.1865,1.1865
2020-09-14 21:39:00,1.1865,1.1865,1.1865,1.1865
2020-09-14 21:40:00,1.1865,1.1865,1.1865,1.1865
2020-09-14 21:41:00,1.1865,1.18662,1.1865,1.18661
2020-09-14 21:42:00,1.18661,1.18662,1.18661,1.18662
2020-09-14 21:43:00,1.18662,1.18668,1.18661,1.18668
2020-09-14 21:44:00,1.18668,1.18668,1.18661,1.18666
2020-09-14 21:45:00,1.18666,1.18666,1.18661,1.18663
2020-09-14 21:46:00,1.18663,1.18664,1.18661,1.18662
2020-09-14 21:47:00,1.18662,1.18666,1.1866,1.18661
2020-09-14 21:48:00,1.18661,1.18666,1.1866,1.18663
